,id,name,artists,duration_ms,release_date,year,popularity,explicit,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key
77,29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,300840,1985-09-16,1985,5,False,0.659,0.625,0.533,0.00266,0.0546,-11.903,0.0596,108.296,0.139,0,10
78,1rDQ4oMwGJI7B4tovsBOxc,First Class,Jack Harlow,173947,2022-04-08,2022,28,True,0.0254,0.905,0.563,9.71e-06,0.113,-6.135,0.102,106.998,0.324,1,8
79,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,177954,2022-05-20,2022,77,False,0.298,0.714,0.728,0.0,0.106,-4.595,0.0468,114.996,0.901,1,10
80,5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,229226,2021-05-21,2021,83,False,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,0.0849,1,3
81,6I3mqTwhRpn34SLVafSH7G,Ghost,Justin Bieber,153190,2021-03-19,2021,83,False,0.185,0.601,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,0.441,1,2
82,6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,Joji,233456,2022-06-10,2022,77,False,0.891,0.44,0.317,4.78e-06,0.141,-9.258,0.0531,169.914,0.268,1,8
83,4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,Steve Lacy,232066,2022-07-15,2022,81,True,0.613,0.686,0.494,5.8e-05,0.402,-7.093,0.0355,168.946,0.7,1,1
84,3WMj8moIAXJhHsyLaqIIHI,Something in the Orange,Zach Bryan,228013,2022-04-22,2022,85,False,0.555,0.369,0.192,8.35e-06,0.0954,-12.151,0.04,175.212,0.148,0,4
85,0mL82sxCRjrs3br407IdJh,Is There Someone Else?,The Weeknd,199111,2022-01-06,2022,80,False,0.0388,0.702,0.586,7.27e-05,0.156,-7.83,0.0313,134.951,0.608,0,9
86,2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",198937,2022-07-06,2022,80,False,0.0125,0.621,0.782,0.033,0.23,-5.548,0.044,128.033,0.55,1,2
87,3IAfUEeaXRX9s9UdKOJrFI,Envolver,Anitta,193805,2021-11-11,2021,67,False,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,0.396,0,4
88,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,"Bad Bunny, Chencho Corleone",178567,2022-05-06,2022,81,True,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0.0817,92.005,0.425,0,1
89,2FeBslNBMdR9V58uv6hd2t,N95,Kendrick Lamar,195950,2022-05-13,2022,30,True,0.377,0.79,0.67,2.32e-06,0.119,-5.527,0.105,139.956,0.408,1,1
90,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",218364,2022-06-17,2022,80,True,0.000307,0.529,0.673,2.41e-06,0.093,-4.711,0.175,165.921,0.366,1,0
91,1PckUlxKqWQs3RlWXVBLw3,About Damn Time,Lizzo,191822,2022-04-14,2022,59,True,0.0995,0.836,0.743,0.0,0.335,-6.305,0.0656,108.966,0.722,0,10
92,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,Taylor Swift,202395,2022-10-21,2022,74,True,0.23,0.735,0.449,0.00126,0.132,-10.56,0.0883,97.05,0.0955,0,7
